date,start_time (UTC),end_time (UTC),title,speakers,code,In S3?,youtube_url,, 
2020-07-29,17:10:00,17:20:00,Probabilistic Optimization with the Koopman Operator,Adam R. Gerlach,KTDY7J,Y,https://youtu.be/gbRG5VHkhsY,,
2020-07-29,17:20:00,17:30:00,Multi-Physics 3-D Inversion on GPU Supercomputers with Julia,"Ludovic Räss, Georg, Samuel Omlin",YDSABY,Y,https://youtu.be/1t1AKnnGRqA,,
2020-07-29,17:20:00,17:30:00,Whole-brain systems neuroscience with Julia,Vilim Štih,CUMDLK,Y,https://youtu.be/ayidyW0ybj0,,
2020-07-29,17:30:00,17:40:00,Terminal User Interfaces in Julia,Dheepak Krishnamurthy,SD8PSC,Y,https://youtu.be/-TASx67pphw,,
2020-07-29,17:30:00,17:40:00,Computational tools for designing modular biosystems,Michiel Stock,7MYVV3,Y,https://youtu.be/qI2fCgYD0bU,,
2020-07-29,18:00:00,18:30:00,Abstraction without Regret: A Cloud Knowledge Graph DB in Julia,Molham Aref,JEWE93,Y,https://youtu.be/umstt6Q7l1g,,
2020-07-29,18:00:00,18:10:00,Convolutional Conditional Neural Processes in Flux,Wessel Bruinsma,PARPJU,Y,https://youtu.be/nq6X-w5xgLo,,
2020-07-29,18:00:00,18:30:00,Loop Analysis in Julia,Chris Elrod,JQLXBK,Y,https://youtu.be/qz2kJdVDWi0,,
2020-07-29,18:10:00,18:20:00,Applying Differentiable Programming to the Dark Channel Prior,tombsvj@ornl.gov,PUHBMG,Y,https://youtu.be/ZQSObRGPcIc,,
2020-07-29,18:20:00,18:30:00,Exploring Disease Vector Dynamics Under Environmental Change,Valeri Vasquez,MR9QWA,Y,https://youtu.be/CUmd-J0CaNs,,
2020-07-29,18:30:00,18:40:00,Accelerating Tensor Computations in Julia on the GPU,Katharine Hyatt,GSXV8H,Withdrawn,,,
2020-07-29,18:30:00,19:00:00,SciML: Automatic Discovery of droplet fragmentation Physics,Raj Dandekar,RYFMY9,Y,https://youtu.be/og6aE3sYdHg,,
2020-07-29,18:30:00,18:40:00,`SymbolicTensors.jl` -- high-level tensor manipulation in Julia,Robert Rosati,XKG7TT,Y,https://youtu.be/_b4JIv044GY,,
2020-07-29,18:40:00,18:50:00,Concatenation and Kronecker products of abstract linear maps,Daniel Karrasch,3JSMMG,Y,https://youtu.be/K86CMafvgFA,,
2020-07-29,18:40:00,18:50:00,MPI.jl: Julia meets classic HPC,Simon Byrne,3NXGGJ,Y,https://youtu.be/pV-8YqfOxQE,,
2020-07-29,18:50:00,19:00:00,SIMD in Julia - Automatic and explicit,Kristoffer Carlsson,NMGTD9,Y,https://youtu.be/MUGQnq7mkSs,,
2020-07-29,18:50:00,19:00:00,Effectively Using GR,Josef Heinen,JHCWQA,Y,https://youtu.be/EK9J4pHDzQo,,
2020-07-29,19:00:00,19:30:00,Accurate and Efficiently Vectorized Sums and Dot Products,"François Févotte, Chris Elrod",LEADQ7,Y,https://youtu.be/CoAlD8OqrrI,,
2020-07-29,19:00:00,19:30:00,On the State of Flux,Dhairya Gandhi,RRNYRW,Y,https://youtu.be/T9nKuk3HyuQ,,
2020-07-29,19:00:00,19:30:00,DFTK: A Julian approach for simulating electrons in solids,Michael Herbst,X8LY73,Y,https://youtu.be/-RomkxjlIcQ,,
2020-07-30,12:30:00,12:40:00,State Space Modeling for Macroeconomics with StateSpaceEcon,"Nicholas Labelle St-Pierre, Boyan Bejanov, Atai Akunov",LHBLF3,Y,https://youtu.be/ZO8yhB-MjdI,,
2020-07-30,12:30:00,12:40:00,Complex graphs in transportation networks with OpenStreetMapX.jl,"Bogumił Kamiński, Przemysław Szufel",GX8QCX,Y,https://youtu.be/wybG7ha3fdA,,
2020-07-30,12:30:00,12:40:00,Creating a multichannel wireless speaker setup with Julia,Elliot Saba,KK9S9V,Y,https://youtu.be/G0cXvMWUFfE,,
2020-07-30,12:40:00,12:50:00,Parallel Implementation of Monte Carlo-Markov Chain Algorithm,"Oscar A. Esquivel-Flores, Óscar Alvarado",ALMRKK,Y,https://youtu.be/UEC-bThWCIs,,
2020-07-30,12:40:00,12:50:00,GeoInterface: bringing geospatial packages together,Martijn Visser,GR9TZH,Y,https://youtu.be/wih_DIWODUs,,
2020-07-30,12:40:00,12:50:00,Boids: Dancing with Friends and Enemies,Jesse Bettencourt,M89V9M,,https://youtu.be/8gS6wejsGsY,,
2020-07-30,12:50:00,13:00:00,Comparative study of parallelism in Julia and an HPC environment,Samuel Kapembe,E98QKR,Delay,,,
2020-07-30,12:50:00,13:00:00,Handling large geospatial raster data with the Earth System Data,Felix Cremer,GDCEYU,Y,https://youtu.be/2gmN3Xlc9nE,,
2020-07-30,12:50:00,13:00:00,AMDGPU Computing in Julia,Julian P Samaroo,J9Q8UR,Y,https://youtu.be/bpsA0iooMb4,,
2020-07-30,13:00:00,13:30:00,JuliaMusic: doing cool science and becoming a better drummer,George Datseris,8RM33X,Y,https://youtu.be/n6jSYJQSq5I,,
2020-07-30,13:00:00,13:30:00,Optimization Algorithms in Julia for GPUs,Michel Schanen,HVXXZD,Y,https://youtu.be/yOzute3diP4,,
2020-07-30,13:00:00,13:30:00,NetworkDynamics.jl - Modeling dynamical systems on networks,"Michael Lindner, Anton Plietzsch",YVRWMA,Y,https://youtu.be/GrmnbDYr6mM,,
2020-07-30,13:30:00,14:00:00,Rapid Commercialization of Drone Autonomy using Julia,Kerry Snyder,38UTLX,Y,https://youtu.be/nKRIAbxNSQ8,,
2020-07-30,13:30:00,14:00:00,How not to write CPU code -- KernelAbstractions.jl,Valentin Churavy,YCGSVY,Y,https://youtu.be/2Wq2AnO42k4,,
2020-07-30,13:30:00,14:00:00,GeometricFlux.jl: Geometric Deep Learning on Flux,Yueh-Hua Tu,9A8DCP,Y,https://youtu.be/GczF2zmJKlk,,
2020-07-30,14:20:00,15:05:00,The State of Julia,"Stefan Karpinski, Jeff Bezanson",MASLPF,Live,https://youtu.be/0ZCCWzGGjcY,,
2020-07-30,15:10:00,15:55:00,Keynote: Juan Pablo Vielma,Juan Pablo Vielma,7RL9UQ,Live,https://youtu.be/0ZCCWzGGjcY,,
2020-07-30,16:10:00,16:20:00,Integrate Julia and Javascript using Node.js extensions,Maxime Mouchet,Q88P8U,Y,https://youtu.be/bk3DNy18c0Y,,
2020-07-30,16:10:00,16:40:00,Julia and C++: a technical overview of CxxWrap.jl,Bart Janssens,XGHSWW,Y,https://youtu.be/u7IaXwKSUU0,,
2020-07-30,16:10:00,16:20:00,Introducing the @ccall macro,Aaron Christianson,Y7ERM9,Y,https://youtu.be/wofq1DdXM3s,,
2020-07-30,16:20:00,16:30:00,"Design documents are great, and here’s why you should consider w",Matt Brzezinski,3LUQVT,Y,https://youtu.be/XI58hlGA7Is,,
2020-07-30,16:20:00,16:30:00,Highly productive Julia web development with Genie 1.0,Adrian Salceanu,DTLBM9,Y,https://youtu.be/6b1atdu4Zok,,
2020-07-30,16:30:00,16:40:00,JSServe: Websites & Dashboards in Julia,Simon Danisch,GFE3DB,Y,https://youtu.be/3XBlosGT7rI,,
2020-07-30,16:30:00,16:40:00,Adventures in Avoiding Allocations,Brian Jackson,BSQLL9,Y,https://youtu.be/o8qTJGcPWkE,,
2020-07-30,16:40:00,17:10:00,Advanced Metaprogramming Tools,Mike Innes,QHRQVF,Y,https://youtu.be/U1VhkcTuXuw,,
2020-07-30,16:40:00,16:50:00,Write a WebApp in Julia with Dash.jl,Dhairya Gandhi,P7EQCK,Y,https://youtu.be/xPUOCQ2SJF0,,
2020-07-30,16:40:00,17:10:00,Dispatching Design Patterns,Aaron Christianson,JYNERU,Y,https://youtu.be/nkSuEkmsB28,,
2020-07-30,16:50:00,17:00:00,Interactive data dashboards with Julia and Stipple,Adrian Salceanu,8SZSBE,Y,https://youtu.be/8sciqIMXBng,,
2020-07-30,17:00:00,17:10:00,Rocket.jl: A Julia package for reactive programming,Dmitry Bagaev,VP3W33,Y,https://youtu.be/5UVwzzWeCm8,,
2020-07-30,17:10:00,17:20:00,Continuables.jl: Python yield in Julia in blazingly fast,Stephan Sahm,LRKHWM,Y,https://youtu.be/HkOufyJBN24,,
2020-07-30,17:10:00,17:20:00,Beyond Overdubbing: Building a Generic IR Tracker,Philipp Gabler,KKUCBL,Y,https://youtu.be/DAVu6PYbQOs,,
2020-07-30,17:10:00,17:40:00,Interactive notebooks ~ Pluto.jl,Fons van der Plas,WNBYW8,Y,https://youtu.be/IAF8DjrQSSk,,
2020-07-30,17:20:00,17:30:00,Computation Techniques for Encrypted Data,Gajendra Deshpande,MGJCGT,Y,https://youtu.be/F1arZCsspdY,,
2020-07-30,17:20:00,17:30:00,Integrating Julia in R with the JuliaConnectoR,Stefan Lenz,PHGCKB,Y,https://youtu.be/ObYDHi_jJXk,,
2020-07-30,17:30:00,17:35:00,Zapata,,9XN9AW,Y,https://youtu.be/-6VfSgPXe4s,,
2020-07-30,17:30:00,17:40:00,JuliaLang Survey Results,Viral B. Shah,3YDDAE,Y,https://youtu.be/lBhw7C_bIyk,,
2020-07-30,18:00:00,18:30:00,Solving Nonlinear Multi-Physics on GPU Supercomputers with Julia,Samuel Omlin,M98VVM,Y,https://youtu.be/vPsfZUqI4_0,,
2020-07-30,18:00:00,18:30:00,StatsModels.jl: Mistakes were made/A `@formula` for success,Dave Kleinschmidt,ELQ8A8,Y,https://youtu.be/lsEv0-TMk5k,,
2020-07-30,18:00:00,18:30:00,Causal Bayesian Inference with Soss.jl,Chad Scherrer,7ZJCPC,Withdrawn,,,
2020-07-30,18:30:00,19:00:00,Solving partial differential equations in Julia with Gridap.jl,Francesc Verdugo,DVSD7Q,Y,https://youtu.be/txcb3ROQBS4,,
2020-07-30,18:30:00,18:40:00,The Queryverse,David Anthoff,8EPG3L,Delay,https://youtu.be/OBjpcTAq5EA,,
2020-07-30,18:30:00,19:00:00,DynamicPPL: Stan-like Speed for Dynamic Probabilistic Models,Mohamed Tarek,HWZ38H,Y,https://youtu.be/aD_VEjDtOX0,,
2020-07-30,18:40:00,18:50:00,Julia for Knowledge Mining in Industry 4.0,"Dewan Md. Farid, Swakkhar Shatabda, Aicha Sekhari, Yacine Ouzrout",EVJNMH,Y,https://youtu.be/wkwIaE1o5jc,,
2020-07-30,18:50:00,19:00:00,Efficient RANSAC in efficient Julia,Tamás Cserteg,XQ9YQK,Y,https://youtu.be/EcuqNhmfovM,,
2020-07-30,19:00:00,19:30:00,Inventing Curriculum with Julia and Pointer-Generator Network,Gajendra Deshpande,KFRKCB,Y,https://youtu.be/s9vOPTDpCzI,,
2020-07-30,19:00:00,19:30:00,Inference of Bifurcations with Differentiable Continuation,Gregory Szep,HJZXMX,Y,https://youtu.be/vp-206RgeVE,,
2020-07-30,19:00:00,19:10:00,SymbolicStats.jl,Kusti Skytén,TTU9U8,Withdrawn,,,
2020-07-30,19:10:00,19:20:00,Bijectors.jl: Transforming probability distributions in Julia,Tor Erlend Fjelde,9RX99T,Y,https://youtu.be/ekF8ApjPYWk,,
2020-07-30,19:20:00,19:30:00,Easy and fast desktop GUIs with QML,Bart Janssens,3ZTCWX,Y,https://youtu.be/AddbHe05yRg,,
2020-07-30,18:00:00,18:30:00,Enterprise data management with low-rank topic models,Jiahao Chen,AQMLUC,Y,https://youtu.be/lcTQI84l2YU,,
2020-07-31,12:30:00,12:40:00,Bringing Julia to the Realm of Electronic Structure Theory,David Poole,TKAXGF,Y,https://youtu.be/a95wUe21gUQ,,
2020-07-31,12:30:00,13:00:00,Generic Manpower Simulation Engine: a SimJulia case study,Johan Van Kerckhoven,79FJUW,Y,https://youtu.be/nvtGNQQlqIo,,
2020-07-31,12:30:00,13:00:00,A Computational Textbook for Teaching Data Science with Julia,"Travis DePrato, Raj Rao",NPWSWB,Y,https://youtu.be/R84L-BQcjHw,,
2020-07-31,12:40:00,12:50:00,Interrogating intratumor heterogeneity dynamics with Julia,Meghan Ferrall-Fairbanks,MMJXXC,Y,https://youtu.be/bOw9VrLmZzs,,
2020-07-31,12:50:00,13:00:00,Analyzing species interaction networks in Julia,Francis Banville,GPFUZR,Y,https://youtu.be/2HxWYi2IJb0,,
2020-07-31,13:00:00,13:10:00,Introducing the Hispanic community to Julia,Pamela Alejandra Bustamante Faúndez,VPUS7J,Y,https://youtu.be/YObxPaafCsk,,
2020-07-31,13:00:00,13:10:00,A fast atmospheric radiation code for global circulation models,Charlie Kawczynski,DTAFMF,Y,https://youtu.be/ocXi1mgdSqs,,
2020-07-31,13:00:00,13:10:00,Migrating to JuMP: Leaving Behind Domain Specific Languages,Josiah Pohl,S9BVBR,Y,https://youtu.be/tJv2tbQjTlg,,
2020-07-31,13:10:00,13:20:00,Crash Course in Energy Systems Modeling and Analysis with Julia,"Dheepak Krishnamurthy, Clayton Barrows",V3QDAM,Y,https://youtu.be/kQNOG4tGJdg,,
2020-07-31,13:10:00,13:20:00,No-overhead Game Development in Julia,Ahan Sengupta,YYWMPR,Y,https://youtu.be/ijw27lXp_qk,,
2020-07-31,13:10:00,13:20:00,"BITE, a Bayesian glacier thickness estimation model",Mauro Werder,PTL7YB,Y,https://youtu.be/tZcsbNhJ7DY,,
2020-07-31,13:20:00,13:30:00,Julia Track Google Code In and Beyond,Choi Ching Lam,HJTZNE,Y,https://youtu.be/C3EWgH3NhMg,,
2020-07-31,13:20:00,13:30:00,Climate models in 16bit: Arithmetic and algorithmic challenges,Milan Kloewer,JPGZK3,Y,https://youtu.be/GiSsoA1udUk,,
2020-07-31,13:20:00,13:30:00,HydroPowerModels.jl: Impacts of Network Simplifications,Andrew Rosemberg,ETWX8X,Y,https://youtu.be/xUpX-k0oZmo,,
2020-07-31,13:30:00,13:40:00,Solving Practical Allotment Problems with Julia,Saurabh Kumar,ELXNUQ,Y,https://youtu.be/fSoNYz56MiM,,
2020-07-31,13:30:00,13:40:00,Julia in Education for Generation Z,Gajendra Deshpande,9GDBEW,Y,https://youtu.be/qX5_nIXy53o,,
2020-07-31,13:30:00,14:00:00,Intertwined Economic and Energy Analysis using Julia,Caroline Hughes,UUECGJ,Y,https://youtu.be/SjU4gUGas_8,,
2020-07-31,13:40:00,13:50:00,A Parallel Time-Domain Power System Simulation Toolbox in Julia,Michael Kyesswa,ZMHR9V,Y,https://youtu.be/RKtIxZfhdXU,,
2020-07-31,13:40:00,13:50:00,Developing an exercise-based Julia curriculum,Sascha Mann,Z3RDBQ,Y,https://youtu.be/H2BZ68DqdvA,,
2020-07-31,13:50:00,14:00:00,The ups and downs of convincing to switch to Julia in a company,Jorge Alberto Vieyra Salas,FHEGUA,Y,https://youtu.be/u_8kW8nlElY,,
2020-07-31,13:50:00,14:00:00,Evolutionary algorithms for electrical circuit design,Maxime,JFUJJ7,Y,https://youtu.be/HK1F6WNej4I,,
2020-07-31,14:20:00,15:05:00,Keynote: Linda Petzold,Linda Petzold,LG3GQP,Live,https://youtu.be/ECh3PaDqAxM,,
2020-07-29,15:05:00,15:10:00,Julia Computing,,HZRHEL,Live,https://youtu.be/gfHMPIxEyv4,,
2020-07-31,15:10:00,15:20:00,Pkg.update() or What's going on in Pkg-land?,Kristoffer Carlsson,PLFURQ,Live,https://youtu.be/ECh3PaDqAxM,,
2020-07-31,15:20:00,15:50:00,Lessons learned on trait-based descriptions of graphs,Mathieu Besançon,RMGYYX,Y,https://youtu.be/qhAe1PuWjRQ,,
2020-07-31,16:10:00,16:40:00, Auto-Optimization and Parallelism in DifferentialEquations.jl,Chris Rackauckas,B3VAGU,Y,https://youtu.be/UNkXNZZ3hSw,,
2020-07-31,16:10:00,16:40:00,Using VS Code for Julia development,David Anthoff,HBTFT7,Delay,https://youtu.be/IdhnP00Y1Ks,,
2020-07-31,16:10:00,17:40:00,Poster Session 2,JuliaCon Committee,LRRAGD,NA,,,
2020-07-31,16:40:00,17:10:00,"Display, show and print -- how Julia's display system works",Fredrik Ekre,KZK93G,Y,https://youtu.be/S1Fb5oNhhbc,,
2020-07-31,16:40:00,17:10:00,ChainRules.jl,Lyndon White (@oxinabox),QABEK8,Y,https://youtu.be/B4NfkkkJ7rs,,
2020-07-31,17:10:00,17:40:00,Manifolds in Julia – Manifolds.jl & ManifoldsBase.jl,Ronny Bergmann,KCFCMQ,Y,https://youtu.be/md-FnDGCh9M,,
2020-07-31,17:10:00,17:20:00,NamedDims.jl: Work with array dimensions by name at no cost,Nick Robinson,RVZNV3,Withdrawn,,,
2020-07-31,17:20:00,17:30:00,Changing the immutable,Jan Weidner,ER3ZYC,Y,https://youtu.be/vkAOYeTpLg0,,
2020-07-31,17:30:00,17:40:00,SmartHomy: Julia controlling your home and life!,Simon Danisch,ZRC8HA,Y,https://youtu.be/lOqAtwB3BPU,,
2020-07-31,18:00:00,18:30:00,DynamicGrids.jl: high-performance spatial simulations in Julia,Rafael Schouten,P8D3PF,Y,https://youtu.be/MDvhIASXb6k,,
2020-07-31,18:00:00,18:30:00,GigaSOM.jl: 1 billion cytometry events and beyond with Julia,"Miroslav Kratochvíl, Oliver Hunewald",UPHPAT,Y,https://youtu.be/7d78nE62HVk,,
2020-07-31,18:00:00,19:30:00,Minisymposium on Partial Differential Equations,Jürgen Fuhrmann,MCFFUY,Y,https://youtu.be/sylAN2e8xM0,,
2020-07-31,18:30:00,19:00:00,Natural Language Processing in Julia,Ayush Kaushal,Z8WWNV,Y,https://youtu.be/hHCi8ojazqk,,
2020-07-31,18:30:00,19:00:00,Simulating the Early Universe with Inflation.jl,Robert Rosati,LUSFK8,Y,https://youtu.be/gvUZiPPB3nI,,
2020-07-31,19:00:00,19:10:00,Makie.jl,Simon Danisch,7XARPV,Y,https://youtu.be/ACqBmDlhTBU,,
2020-07-31,19:00:00,19:10:00,Iterable Parser Combinators for fast parsing in pure Julia,Gregor Kappler,M8JLAF,Y,https://youtu.be/YBMJSKwwCT0,,
2020-07-31,19:10:00,19:20:00,Creating an XML parser from scratch,Erik Engheim,V9NX3C,Y,https://youtu.be/ExoWtyfmtxs,,
2020-07-31,19:10:00,19:20:00,Interactive data visualizations with StatsMakie,Pietro Vertechi,BMNWLJ,Y,https://youtu.be/ffAmzMRtjHc,,
2020-07-31,19:20:00,19:30:00,The Julia Vega and Vega-Lite ecosystem,David Anthoff,XBLMPG,Y,https://youtu.be/UotQ4tPjyTk,,
2020-07-31,19:20:00,19:30:00,How similar do two strings look? Visual distances in Julia,Eric P. Hanson,PTZDCJ,Y,https://youtu.be/hf2b9ganGxE,,
